Posidonia sinuosa,,,,,,,,,,,,,
9.1,0.8,,,41,0,,,,,,,,
,,,,,,,,,,,,,
Halophilia ovalis,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,5,salt,8,temp,7,vel,5,wettime,4,NCS_fs1,4,wave_exposure,5
0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.4,0,10,0.5,9,0,0.05,1,0.84,0,0.1,0,0.3,1
2.5,0.2,15,1,10,1,1.5,1,0.92,1,0.9,1,0.31,0
16,1,20,1,30,1,1.6,0,1,1,1,1,0.5,0
100,1,25,1,37,0.5,30,0,,,,,2,0
,,58,1,38,0,,,,,,,,
,,59,0,50,0,,,,,,,,
,,100,0,,,,,,,,,,
